BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM25,SO2,TCH,TOL,Month,Year,AQI_category
0.0,1.0,0.0,0.0,0.0,11.25,36.5,54.0,39.75,5.75,8.0,3.25,1.0,3.25,6,0,1
0.0,1.0,0.0,0.0,0.0,4.0,25.285714285714285,31.428571428571427,60.285714285714285,4.714285714285714,8.0,3.5714285714285716,1.0,2.142857142857143,6,0,1
0.0,1.0,0.0,0.4,0.0,11.4,53.6,71.4,37.6,27.6,8.0,4.2,1.0,5.8,6,0,1
0.0,1.0,0.0,1.0,0.0,41.0,61.5,125.0,11.0,21.0,8.0,6.0,1.0,8.0,6,0,0
0.0,1.0,0.0,0.375,0.0,19.125,53.0,82.625,47.5,12.875,8.0,4.25,1.0,4.0,6,0,1
0.0,1.0,0.0,0.125,0.0,13.875,40.875,62.0,65.625,11.125,8.0,5.75,1.0,3.375,6,0,2
0.0,1.0,0.0,0.0,0.0,8.428571428571429,31.0,43.857142857142854,52.857142857142854,16.857142857142858,8.0,4.142857142857143,1.0,2.0,6,0,1
0.0,1.0,0.0,0.16666666666666666,0.0,5.833333333333333,45.833333333333336,54.666666666666664,52.666666666666664,15.333333333333334,8.0,4.666666666666667,1.0,4.5,6,0,1
0.0,1.0,0.0,1.0,0.0,5.0,59.0,68.0,48.0,18.0,8.0,6.0,1.0,6.0,6,0,1
0.0,1.0,0.0,0.3333333333333333,0.0,12.0,47.666666666666664,66.33333333333333,47.666666666666664,47.333333333333336,8.0,6.0,1.0,3.0,6,0,1
0.0,1.0,0.0,0.75,0.0,8.0,44.0,56.25,52.75,33.5,8.0,4.5,1.0,2.75,6,0,1
0.0,1.0,0.0,1.25,0.0,4.75,33.25,40.75,47.25,21.5,8.0,5.0,1.0,4.75,6,0,1
0.0,1.0,0.0,2.0,0.0,2.0,43.0,46.0,83.0,18.0,8.0,5.0,1.0,5.0,5,0,2
0.0,1.0,0.0,2.0,0.0,11.0,37.0,54.333333333333336,37.666666666666664,15.333333333333334,8.0,3.3333333333333335,1.0,2.6666666666666665,5,0,1
0.0,1.0,0.0,2.0,0.0,20.666666666666668,33.333333333333336,64.66666666666667,34.333333333333336,23.333333333333332,8.0,4.333333333333333,1.0,2.0,5,0,1
0.0,1.0,0.0,1.0,0.0,10.0,49.5,65.0,44.0,6.0,8.0,4.5,1.0,2.5,5,0,1
0.0,1.0,0.0,2.0,0.0,12.0,50.666666666666664,69.0,35.333333333333336,6.0,8.0,5.333333333333333,1.0,5.0,5,0,1
0.0,1.0,0.0,0.0,0.0,73.0,72.85714285714286,184.71428571428572,19.571428571428573,5.571428571428571,8.0,15.285714285714286,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,46.53846153846154,59.15384615384615,130.6153846153846,25.153846153846153,17.384615384615383,8.0,10.0,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,40.666666666666664,48.666666666666664,110.77777777777777,20.0,16.444444444444443,8.0,7.666666666666667,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,37.666666666666664,54.44444444444444,112.0,21.444444444444443,21.11111111111111,8.0,7.0,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,52.05263157894737,63.36842105263158,143.21052631578948,28.0,16.31578947368421,8.0,7.842105263157895,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,43.375,62.4375,128.875,18.3125,12.875,8.0,8.625,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,36.9,44.0,100.2,25.1,12.0,8.0,7.1,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,33.285714285714285,41.142857142857146,92.28571428571429,9.857142857142858,12.142857142857142,8.0,7.0,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,67.75,63.75,167.5,4.0,48.5,8.0,18.0,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,58.833333333333336,63.833333333333336,154.0,6.5,18.833333333333332,8.0,14.666666666666666,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,39.857142857142854,63.285714285714285,124.14285714285714,17.285714285714285,18.857142857142858,8.0,10.285714285714286,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,67.28571428571429,72.57142857142857,175.57142857142858,15.714285714285714,22.0,8.0,15.571428571428571,1.0,2.0,9,1,0
0.0,1.0,0.0,0.0,0.0,58.81818181818182,65.45454545454545,155.27272727272728,8.909090909090908,23.0,8.0,11.181818181818182,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,32.5,47.6,97.5,29.7,9.1,8.0,10.5,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,29.2,48.1,92.8,31.9,13.6,8.0,12.9,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,29.428571428571427,55.285714285714285,100.57142857142857,18.571428571428573,10.0,8.0,11.0,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,14.0,47.0,68.0,37.0,10.0,8.0,19.0,1.0,2.0,2,1,1
0.0,1.0,0.0,0.0,0.0,25.0,45.666666666666664,84.33333333333333,35.77777777777778,10.666666666666666,8.0,12.0,1.0,2.0,2,1,1
0.0,1.0,0.0,0.0,0.0,60.666666666666664,59.0,152.33333333333334,21.333333333333332,30.0,8.0,16.666666666666668,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,46.0,60.375,131.0,14.0,19.5,8.0,16.375,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,49.5,65.0,140.5,13.5,19.5,8.0,11.0,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,45.375,57.5,127.0,19.125,18.875,8.0,8.3125,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,38.888888888888886,54.0,113.44444444444444,25.0,17.333333333333332,8.0,7.555555555555555,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,67.5,56.0,159.5,4.0,26.0,8.0,9.0,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,58.0,69.5,158.75,4.0,25.0,8.0,15.25,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,61.875,61.0,156.125,19.5,20.625,8.0,12.0,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,46.6,57.86666666666667,129.4,21.466666666666665,18.6,8.0,10.133333333333333,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,22.666666666666668,48.333333333333336,83.16666666666667,12.666666666666666,11.5,8.0,13.333333333333334,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,27.833333333333332,50.333333333333336,92.83333333333333,13.666666666666666,16.5,8.0,13.5,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,44.77777777777778,51.111111111111114,119.77777777777777,7.111111111111111,29.555555555555557,8.0,10.88888888888889,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,59.0,53.0,143.55555555555554,7.222222222222222,17.88888888888889,8.0,9.333333333333334,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,80.0,47.714285714285715,170.57142857142858,4.142857142857143,24.714285714285715,8.0,10.142857142857142,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,68.66666666666667,67.66666666666667,173.16666666666666,7.833333333333333,33.166666666666664,8.0,9.833333333333334,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,70.625,65.0,173.5,5.375,30.75,8.0,8.875,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,33.714285714285715,40.285714285714285,92.14285714285714,5.571428571428571,7.285714285714286,8.0,14.428571428571429,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,64.27272727272727,59.27272727272727,157.9090909090909,10.909090909090908,30.181818181818183,8.0,9.363636363636363,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,28.789473684210527,44.26315789473684,88.26315789473684,26.789473684210527,14.842105263157896,8.0,6.631578947368421,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,51.473684210526315,54.94736842105263,133.78947368421052,20.05263157894737,20.68421052631579,8.0,8.157894736842104,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,42.46666666666667,51.266666666666666,116.33333333333333,28.2,16.733333333333334,8.0,6.8,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,43.0,62.529411764705884,128.2941176470588,28.647058823529413,14.117647058823529,8.0,11.411764705882353,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,66.625,70.75,172.875,11.75,24.0,8.0,12.125,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,60.5,83.5,176.0,14.0,12.5,8.0,16.0,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,48.4,59.25,133.45,23.8,18.95,8.0,11.45,1.0,2.0,2,1,0
0.0,1.0,0.0,0.0,0.0,41.72727272727273,49.63636363636363,113.9090909090909,19.818181818181817,14.954545454545455,8.0,7.454545454545454,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,56.4375,50.8125,137.25,14.0,13.375,8.0,7.25,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,53.642857142857146,49.92857142857143,132.14285714285714,26.571428571428573,15.714285714285714,8.0,8.285714285714286,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,59.06666666666667,59.266666666666666,149.73333333333332,16.8,15.866666666666667,8.0,9.8,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,65.75,65.41666666666667,166.33333333333334,8.833333333333334,23.833333333333332,8.0,7.5,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,37.4,57.0,114.3,28.75,9.3,8.0,10.8,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,36.888888888888886,57.22222222222222,114.22222222222223,18.444444444444443,7.555555555555555,8.0,7.666666666666667,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,42.583333333333336,52.333333333333336,117.58333333333333,25.083333333333332,10.75,8.0,9.416666666666666,1.0,2.0,4,2,0
